"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","04-Oct-2024","1,822.80","1,815.50","1,850.00","1,798.35","1,813.00","1,809.00","1,819.18","37,34,632","6,79,39,81,253.35","1,94,803","19,34,265","51.79"
"KOTAKBANK","EQ","07-Oct-2024","1,809.00","1,810.00","1,836.40","1,769.40","1,795.30","1,790.25","1,801.29","74,46,633","13,41,35,16,755.75","2,41,836","28,21,709","37.89"
"KOTAKBANK","EQ","08-Oct-2024","1,790.25","1,800.00","1,814.00","1,781.85","1,805.10","1,803.40","1,802.84","50,97,103","9,18,92,69,087.70","1,67,492","35,13,167","68.92"
"KOTAKBANK","EQ","09-Oct-2024","1,803.40","1,801.00","1,820.00","1,789.90","1,804.90","1,800.80","1,803.69","70,78,802","12,76,79,51,879.30","2,37,657","33,70,417","47.61"
"KOTAKBANK","EQ","10-Oct-2024","1,800.80","1,809.90","1,884.00","1,805.30","1,870.00","1,876.10","1,863.15","59,05,798","11,00,33,68,846.40","2,51,969","30,08,378","50.94"
"KOTAKBANK","EQ","11-Oct-2024","1,876.10","1,872.20","1,893.60","1,861.15","1,884.45","1,882.40","1,882.02","52,11,580","9,80,83,16,489.40","1,32,738","38,90,465","74.65"
"KOTAKBANK","EQ","14-Oct-2024","1,882.40","1,885.05","1,916.00","1,882.45","1,912.75","1,910.80","1,908.56","43,91,138","8,38,07,53,954.80","1,58,328","32,01,788","72.91"
"KOTAKBANK","EQ","15-Oct-2024","1,910.80","1,912.20","1,915.35","1,887.45","1,895.40","1,895.20","1,897.44","42,95,493","8,15,04,57,993.80","1,71,087","32,95,321","76.72"
"KOTAKBANK","EQ","16-Oct-2024","1,895.20","1,884.00","1,892.45","1,868.15","1,869.90","1,876.35","1,877.48","31,45,556","5,90,57,04,932.85","1,69,770","20,20,210","64.22"
"KOTAKBANK","EQ","17-Oct-2024","1,876.35","1,876.35","1,878.30","1,851.30","1,859.55","1,864.05","1,862.70","35,41,432","6,59,66,33,546.30","1,17,717","26,74,032","75.51"
"KOTAKBANK","EQ","18-Oct-2024","1,864.05","1,868.00","1,878.50","1,848.00","1,871.85","1,871.05","1,868.42","38,34,767","7,16,49,68,183.00","1,73,161","24,91,471","64.97"
"KOTAKBANK","EQ","21-Oct-2024","1,871.05","1,850.00","1,855.00","1,735.00","1,782.50","1,789.20","1,777.26","1,31,78,137","23,42,09,71,357.40","3,94,637","77,87,912","59.10"
"KOTAKBANK","EQ","22-Oct-2024","1,789.20","1,791.95","1,795.50","1,758.85","1,776.55","1,763.15","1,768.34","54,94,382","9,71,59,12,165.05","2,53,121","29,04,513","52.86"
"KOTAKBANK","EQ","23-Oct-2024","1,763.15","1,761.15","1,787.05","1,758.10","1,765.95","1,767.80","1,769.98","28,36,137","5,01,99,00,681.95","1,04,559","15,14,348","53.39"
"KOTAKBANK","EQ","24-Oct-2024","1,767.80","1,766.00","1,772.75","1,750.30","1,765.00","1,762.20","1,760.17","23,16,820","4,07,80,04,286.30","1,12,834","15,63,790","67.50"
"KOTAKBANK","EQ","25-Oct-2024","1,762.20","1,765.00","1,786.50","1,757.00","1,770.00","1,768.85","1,768.11","28,29,227","5,00,23,93,369.65","1,01,475","15,93,924","56.34"
"KOTAKBANK","EQ","28-Oct-2024","1,768.85","1,768.00","1,780.65","1,745.05","1,753.00","1,749.85","1,757.63","33,02,148","5,80,39,58,310.50","1,43,061","19,14,081","57.96"
"KOTAKBANK","EQ","29-Oct-2024","1,749.85","1,743.50","1,767.15","1,730.70","1,762.00","1,760.20","1,751.03","41,58,119","7,28,09,96,077.55","1,60,046","23,44,084","56.37"
"KOTAKBANK","EQ","30-Oct-2024","1,760.20","1,727.00","1,760.00","1,726.60","1,736.00","1,734.60","1,740.87","43,85,949","7,63,53,61,099.90","1,54,139","23,64,383","53.91"
"KOTAKBANK","EQ","31-Oct-2024","1,734.60","1,727.35","1,746.60","1,723.95","1,736.00","1,731.10","1,731.86","29,44,670","5,09,97,61,084.25","1,37,185","18,96,334","64.40"
"KOTAKBANK","EQ","01-Nov-2024","1,731.10","1,739.60","1,754.15","1,736.35","1,742.00","1,744.40","1,744.77","1,82,489","31,84,00,710.20","13,278","69,988","38.35"
"KOTAKBANK","EQ","04-Nov-2024","1,744.40","1,744.00","1,744.00","1,724.25","1,729.00","1,729.35","1,732.43","28,84,830","4,99,77,63,262.60","1,33,956","13,31,396","46.15"
"KOTAKBANK","EQ","05-Nov-2024","1,729.35","1,721.50","1,760.50","1,711.00","1,758.95","1,757.15","1,738.96","40,28,615","7,00,56,07,167.55","1,29,659","20,83,828","51.73"
"KOTAKBANK","EQ","06-Nov-2024","1,757.15","1,760.10","1,768.45","1,746.60","1,764.00","1,762.60","1,758.94","36,52,252","6,42,40,77,996.50","1,04,633","21,99,948","60.24"
