"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","29-Apr-2025","668.15","671.45","682.90","661.60","667.30","665.60","671.09","1,37,54,685","9,23,05,85,639.05","2,24,042","42,68,709","31.03"
"TATAMOTORS","EQ","30-Apr-2025","665.60","667.00","667.00","641.10","643.50","644.25","645.61","1,94,85,917","12,58,02,41,417.75","3,11,644","1,06,89,463","54.86"
"TATAMOTORS","EQ","02-May-2025","644.25","641.00","661.35","635.55","652.00","652.00","652.71","1,31,41,726","8,57,77,31,081.10","2,44,150","46,38,989","35.30"
"TATAMOTORS","EQ","05-May-2025","652.00","662.95","666.65","655.85","662.20","661.55","660.93","88,68,484","5,86,14,08,259.15","1,59,988","27,82,365","31.37"
"TATAMOTORS","EQ","06-May-2025","661.55","661.55","663.20","645.50","647.55","648.20","651.87","1,27,18,175","8,29,05,42,879.90","2,35,348","53,30,221","41.91"
"TATAMOTORS","EQ","07-May-2025","648.20","642.00","682.50","641.15","681.80","680.30","673.57","3,03,90,515","20,47,02,18,684.45","3,66,513","1,00,07,086","32.93"
"TATAMOTORS","EQ","08-May-2025","680.30","700.00","704.50","677.20","680.40","682.85","692.28","2,93,15,465","20,29,46,54,093.00","3,66,175","88,57,915","30.22"
"TATAMOTORS","EQ","09-May-2025","682.85","667.50","711.00","666.00","709.00","708.50","701.30","4,01,83,276","28,18,05,98,035.45","5,23,258","1,23,22,279","30.67"
"TATAMOTORS","EQ","12-May-2025","708.50","728.00","732.00","711.20","719.70","720.80","720.11","2,01,33,616","14,49,83,71,601.20","2,61,307","72,41,403","35.97"
"TATAMOTORS","EQ","13-May-2025","720.80","720.80","726.00","703.25","708.30","707.70","713.29","1,61,25,700","11,50,23,45,598.95","2,68,737","60,98,775","37.82"
